일자,전국,서울,경기,인천,강원,충북,충남,전북,전남,경북,경남,세종,대전,대구,부산,광주,울산,제주
2025-09-23,1530.99,1607.37,1524.21,1527.98,1551.63,1537.04,1535.13,1524.34,1535.66,1520.08,1524.36,1523.02,1520.12,1495.12,1517.7,1521.11,1512.45,1582.27
2025-09-24,1531.04,1606.41,1524.55,1528.14,1551.47,1536.95,1534.93,1524.4,1536.29,1519.68,1524.37,1522.52,1519.87,1495.22,1518.9,1521.2,1512.54,1582.13
2025-09-25,1531.09,1605.9,1524.47,1529.72,1551.54,1536.91,1535.14,1524.49,1536.52,1519.74,1524.49,1524.02,1520.0,1495.63,1518.02,1521.83,1512.08,1581.0
2025-09-26,1531.43,1606.04,1524.99,1529.46,1551.46,1537.21,1535.69,1524.85,1536.98,1520.08,1524.53,1522.8,1520.0,1496.16,1518.54,1522.92,1512.66,1581.06
2025-09-27,1531.44,1602.41,1525.25,1528.02,1551.91,1537.53,1535.81,1524.92,1537.28,1520.38,1524.42,1522.95,1521.37,1497.06,1518.26,1523.21,1512.43,1580.88
2025-09-28,1531.25,1603.0,1524.89,1527.7,1551.17,1536.74,1536.15,1524.65,1537.19,1520.31,1524.26,1523.19,1520.97,1496.87,1517.91,1522.73,1512.72,1580.75
2025-09-29,1532.31,1608.0,1526.61,1528.18,1551.75,1538.22,1536.44,1525.64,1537.61,1520.83,1525.02,1523.97,1521.68,1497.47,1519.1,1522.69,1513.68,1580.8
2025-09-30,1533.02,1608.32,1526.99,1529.41,1551.97,1538.38,1536.7,1525.58,1538.25,1521.63,1525.45,1525.34,1523.66,1498.3,1519.68,1523.33,1514.1,1593.93
2025-10-01,1533.29,1608.43,1527.04,1529.7,1552.2,1538.47,1536.84,1525.95,1538.3,1520.7,1525.44,1527.8,1524.84,1498.67,1520.27,1523.51,1513.14,1606.36
2025-10-02,1534.16,1608.28,1527.98,1529.87,1552.96,1538.87,1537.43,1527.23,1539.45,1522.06,1525.77,1527.59,1525.58,1499.8,1520.53,1524.92,1513.12,1611.78
2025-10-03,1534.89,1608.56,1528.55,1531.22,1553.09,1540.29,1538.39,1527.37,1540.3,1523.45,1526.19,1526.94,1528.09,1501.52,1521.01,1523.69,1513.77,1611.88
2025-10-04,1535.04,1605.17,1528.51,1532.3,1553.49,1540.4,1538.78,1527.62,1540.78,1524.11,1525.91,1527.1,1529.37,1501.75,1521.0,1524.69,1514.04,1612.45
2025-10-05,1535.28,1604.95,1528.81,1532.68,1553.48,1540.24,1538.98,1527.92,1541.14,1525.03,1525.89,1527.1,1529.73,1502.11,1520.83,1524.33,1514.6,1612.98
2025-10-06,1535.85,1610.29,1529.51,1532.49,1553.79,1540.64,1539.14,1528.33,1541.45,1525.17,1526.3,1527.25,1529.96,1502.68,1521.23,1524.57,1514.74,1612.98
2025-10-07,1536.0,1610.32,1529.75,1533.01,1553.56,1540.67,1539.54,1528.19,1541.14,1525.39,1526.67,1528.37,1529.02,1503.06,1520.92,1524.51,1515.36,1613.37
2025-10-08,1535.79,1610.75,1529.6,1531.85,1554.25,1540.11,1539.31,1528.03,1540.92,1525.26,1526.61,1527.82,1528.42,1503.06,1521.13,1524.62,1513.66,1613.86
2025-10-09,1535.36,1610.17,1529.01,1531.93,1553.78,1539.52,1539.0,1528.32,1540.69,1524.7,1526.13,1527.17,1529.02,1503.25,1521.11,1523.89,1511.9,1612.07
2025-10-10,1535.83,1608.88,1529.36,1531.08,1554.11,1541.31,1539.3,1528.31,1540.74,1524.69,1526.91,1527.64,1529.76,1503.41,1522.2,1523.54,1515.99,1612.61
2025-10-11,1535.71,1605.59,1528.9,1531.47,1554.2,1541.15,1539.53,1528.46,1541.57,1525.95,1526.96,1526.78,1529.35,1502.9,1520.97,1524.08,1514.41,1612.84
2025-10-12,1535.53,1605.3,1528.91,1530.86,1554.21,1540.68,1539.31,1528.06,1541.26,1525.93,1526.61,1526.68,1528.44,1502.9,1520.44,1524.12,1515.03,1612.87
2025-10-13,1536.17,1610.08,1529.87,1532.05,1554.15,1541.27,1539.48,1528.77,1541.51,1525.92,1526.84,1526.52,1529.33,1503.58,1520.28,1524.45,1516.2,1612.99
2025-10-14,1536.08,1610.11,1529.66,1531.54,1554.22,1541.2,1539.81,1528.8,1541.72,1526.01,1526.27,1526.52,1529.11,1503.54,1519.69,1524.7,1516.21,1612.84
2025-10-15,1535.81,1608.98,1529.11,1530.67,1553.78,1540.77,1539.59,1528.39,1542.3,1526.1,1526.42,1526.48,1529.08,1503.03,1518.82,1523.85,1516.77,1612.48
2025-10-16,1535.44,1608.9,1528.62,1530.2,1553.47,1540.96,1539.66,1527.48,1542.41,1525.77,1525.73,1526.32,1528.41,1502.63,1517.51,1524.61,1515.26,1612.65
2025-10-17,1535.43,1608.38,1528.36,1529.95,1553.75,1540.84,1539.95,1527.86,1542.23,1526.12,1526.01,1525.8,1526.31,1502.16,1518.16,1523.97,1515.97,1612.63
2025-10-18,1534.54,1603.96,1526.85,1529.42,1553.38,1539.88,1539.46,1527.42,1541.54,1525.42,1525.7,1525.33,1527.52,1502.31,1516.62,1524.05,1514.4,1612.42
